trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1746,False,"{'a': 0.002, 'e': 0.03043993138797189}",25,8,27.421865431216858,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1747,False,"{'a': 0.002, 'e': 0.03037911236449243}",30,1,43.42065354140189,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
1748,False,"{'a': 0.002, 'e': 0.03031841485750294}",30,22,12.014280162082466,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1749,False,"{'a': 0.002, 'e': 0.030257838624213294}",30,18,21.964083182320863,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1750,False,"{'a': 0.002, 'e': 0.0301973834223185}",25,17,12.945587816754978,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1751,False,"{'a': 0.002, 'e': 0.030137049009997648}",25,6,35.147349163876065,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1752,False,"{'a': 0.002, 'e': 0.03007683514591303}",25,0,38.33906184723101,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1753,False,"{'a': 0.002, 'e': 0.030016741589209084}",25,11,23.464488022344014,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1754,False,"{'a': 0.002, 'e': 0.029956768099511533}",25,12,24.56002295536686,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1755,False,"{'a': 0.002, 'e': 0.029896914436926308}",20,12,14.342877359254485,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1756,False,"{'a': 0.002, 'e': 0.029837180362038706}",25,11,22.981628135156388,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1757,False,"{'a': 0.002, 'e': 0.02977756563591232}",25,15,20.18466296603694,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1758,False,"{'a': 0.002, 'e': 0.0297180700200882}",25,13,19.778211425594172,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1759,False,"{'a': 0.002, 'e': 0.029658693276583766}",25,9,30.166642490381612,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1760,False,"{'a': 0.002, 'e': 0.029599435167892}",25,11,26.637138908021278,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1761,False,"{'a': 0.002, 'e': 0.029540295456980357}",25,14,21.454821742860545,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1762,False,"{'a': 0.002, 'e': 0.02948127390728994}",20,11,13.742465748073792,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1763,False,"{'a': 0.002, 'e': 0.02942237028273445}",20,16,10.947473958386052,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1764,False,"{'a': 0.002, 'e': 0.029363584347699333}",20,0,27.800330274117275,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1765,False,"{'a': 0.002, 'e': 0.029304915867040746}",20,7,19.747749047084447,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1766,False,"{'a': 0.002, 'e': 0.029246364606084714}",35,23,20.57617274374529,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1767,False,"{'a': 0.002, 'e': 0.029187930330626086}",25,13,23.112319611769863,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1768,False,"{'a': 0.002, 'e': 0.02912961280692771}",25,15,16.087500719686535,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1769,False,"{'a': 0.002, 'e': 0.02907141180171939}",20,7,21.39596001462328,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1770,False,"{'a': 0.002, 'e': 0.029013327082197053}",20,16,7.424108196414754,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1771,False,"{'a': 0.002, 'e': 0.028955358416021718}",20,13,10.084617320387341,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1772,False,"{'a': 0.002, 'e': 0.028897505571318663}",20,14,11.036862727704047,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1773,False,"{'a': 0.002, 'e': 0.028839768316676413}",25,9,32.42791757846459,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1774,False,"{'a': 0.002, 'e': 0.02878214642114589}",20,11,12.177082690763493,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1775,False,"{'a': 0.002, 'e': 0.028724639654239423}",20,12,15.877350934492862,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1776,False,"{'a': 0.002, 'e': 0.02866724778592988}",25,0,40.37721496210827,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1777,False,"{'a': 0.002, 'e': 0.028609970586649693}",25,8,-15.563238804424197,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1778,False,"{'a': 0.002, 'e': 0.02855280782729001}",25,14,17.100990387863558,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1779,False,"{'a': 0.002, 'e': 0.028495759279199697}",25,19,12.526136516207568,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1780,False,"{'a': 0.002, 'e': 0.028438824714184505}",30,18,25.172371957645787,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1781,False,"{'a': 0.002, 'e': 0.028382003904506077}",30,23,16.090730931977294,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
